lat,lng,node,edge,station,route,travel_times
10.8437376,106.6133728,5748206366,"(7710352978, 8141400827, 1)",True,"[7710352978, 8141400827, 8548211889, 8548211890, 8548211894]",14.600000000000001
10.84277916,106.61509705,8141356723,"(8548211894, 8141356723, 0)",False,"[8548211894, 8141356723, 8141356741]",2.8
10.8425684,106.6150589,8141356741,"(8141356741, 8141297190, 0)",False,"[8141356741, 8141297190, 8141356730, 8141356739, 8141356718, 5748254854, 2210869159]",11.8
10.84329033,106.61625671,2210869159,"(2210869159, 8356490235, 0)",False,"[2210869159, 8356490235, 2091954901]",11.899999999999999
10.84432983,106.61739349,2091954901,"(2091954901, 4069486262, 0)",False,"[2091954901, 4069486220]",2.5
10.84623528,106.61942291,5748263397,"(4069486220, 5748282223, 0)",False,"[4069486220, 5748282223, 2289950125, 2871637982, 2210845350, 4069480171]",105.39999999999999
10.85201645,106.63111115,5468534959,"(4069480171, 2247587264, 0)",False,"[4069480171, 5468534959, 5468534958, 5733544220, 5735298996, 4069480137, 5735299227, 5735273234, 5308090197, 5735325798, 5769401477, 5769401533, 5765420788]",67.10000000000001
10.85670376,106.63980865,5769401761,"(5765420788, 5769401532, 0)",True,"[5765420788, 5765420790, 2822307291]",13.4
10.85785007,106.64185333,5769468196,"(2822307291, 5468520259, 0)",False,"[2822307291, 5468520259, 366450218]",34.7
10.86004448,106.64594269,5765072779,"(366450218, 4069469193, 0)",False,"[366450218, 4069469193, 2247676286, 4069456131]",17.7
10.86104488,106.64775085,4069456131,"(4069456131, 5765428370, 0)",True,"[4069456131, 5765428370, 5765428381]",14.7
10.86188984,106.64978027,5765428388,"(5765428381, 5765428388, 0)",False,"[5765428381, 5765428388]",1.0
10.86194992,106.65019226,2247676293,"(5765428388, 2247676293, 0)",False,"[5765428388, 2247676293, 4069456121]",8.3
10.86194038,106.65119934,4069456121,"(4069456121, 5767074531, 0)",False,[4069456121],0.0
10.86188126,106.65119934,5767074525,"(4069456121, 5767074525, 0)",True,"[4069456121, 5767074531, 5765425823, 366388771, 5767431368, 5655597834, 4069492263, 5767074482, 5767074209, 4069492264, 5767101918]",34.099999999999994
10.86172009,106.65712738,5767101905,"(5767101918, 5655597836, 0)",True,"[5767101918, 5655597836, 716316035, 5767136177, 5767136179, 5655597843]",40.1
