lat,lng,node,edge,station,route,travel_times
10.88415623,106.77871704,5750701673,"(5750701675, 5750701673, 0)",True,"[5750701675, 4809320914, 4809320913, 4809320903]",12.8
10.88382435,106.77838898,4809320903,"(4809320903, 2948303098, 0)",False,"[4809320903, 2948303098]",9.4
10.88361359,106.77857971,2948303098,"(2948303098, 4809320903, 0)",True,"[2948303098, 2945630044]",18.0
10.882217409999999,106.78006744,2945630044,"(2945630044, 6894303712, 0)",False,"[2945630044, 6894303712]",20.6
10.88151741,106.78070831,4809187636,"(6894303712, 2945630044, 0)",False,[6894303712],0.0
10.88120651,106.78173065,4809187634,"(6894303712, 9022035870, 0)",False,"[6894303712, 9022035870]",13.3
10.88170147,106.78231049,9022035870,"(9022035870, 9022035868, 0)",True,"[9022035870, 9022035868]",6.0
10.88202763,106.78266907,9022035868,"(9022035868, 6894303716, 0)",False,[9022035868],0.0
10.88127995,106.78334045,8359740551,"(9022035868, 2948302731, 0)",False,"[9022035868, 2948302731]",12.7
10.88105297,106.78363037,2948302731,"(2948302731, 2217927992, 0)",False,"[2948302731, 2217927992, 2948303072, 2948303069, 1503295256]",29.6
10.87986851,106.78687286,4766258735,"(1503295256, 4766258735, 0)",True,"[1503295256, 4766258735]",4.3
10.87981033,106.7877121,4837896503,"(4766258735, 4828135132, 0)",False,"[4766258735, 4828135132]",62.5
10.8804636,106.79456329,2217933012,"(4828135132, 2217928018, 0)",False,"[4828135132, 2217928018, 2217933030]",18.8
10.88073254,106.79550934,5753161684,"(2217933030, 5738215667, 0)",True,"[2217933030, 5738215667]",15.2
10.88112164,106.79672241,5738215667,"(5738215667, 10653633514, 0)",False,"[5738215667, 10653633514, 10657732273, 10657732274, 5753048950]",60.7
10.88162804,106.80123138,5753048950,"(5753048950, 5753048954, 0)",False,"[5753048950, 5753048954, 5753048952]",12.100000000000001
10.880126,106.80187988,5753048952,"(5753048952, 6768441595, 0)",False,"[5753048952, 6768441595, 3149104935, 2938679179, 6768441593, 5753048956, 2939301402]",32.6
10.87679672,106.80303955,6768441591,"(2939301402, 6768441591, 0)",False,"[2939301402, 6768441591, 10653633546, 2949182378, 6768441590]",11.2
10.87642765,106.80313873,2949182366,"(6768441590, 2949182366, 0)",False,"[6768441590, 2949182366, 2949182365, 6768441606, 2949182401, 6768441600, 6768441604]",17.900000000000002
10.87539005,106.80516815,5762890458,"(6768441604, 5762890458, 0)",False,"[6768441604, 5762890458, 8372456736, 5762890454]",10.0
10.875,106.80522919,5762890454,"(5762890454, 4834867050, 0)",False,"[5762890454, 5762890465]",1.6
10.87505341,106.80539703,5762890465,"(5762890465, 5763376688, 0)",False,"[5762890465, 5763376688, 8372428302, 8372428300]",22.7
10.87439442,106.80683136,8372428302,"(8372428300, 8372428302, 0)",True,"[8372428300, 5763376687, 9735670815]",7.0
10.87333584,106.80818939,6956996789,"(9735670815, 6956996789, 0)",False,"[9735670815, 6956996789]",3.1
10.8720665,106.80724335,5762890413,"(6956996789, 6956976777, 0)",False,"[6956996789, 6956976777, 9291853081, 6968527019]",27.1
10.86968994,106.80532837,6782997407,"(6968527019, 3342117447, 0)",False,"[6968527019, 3342117447, 6956996786, 6956996787, 366466277]",41.3
10.86645031,106.8019104,366466277,"(366466277, 9031257781, 0)",False,[366466277],0.0
10.865997310000001,106.80114746,7686385696,"(366466277, 5778173051, 0)",True,"[366466277, 5778173051]",13.4
10.86468029,106.7989502,366415574,"(5778173051, 366415574, 0)",False,"[5778173051, 366415574, 1958801536]",14.299999999999999
10.86450958,106.79828644,1958801536,"(1958801536, 5778173090, 0)",False,"[1958801536, 5778173090, 4837917592]",17.0
10.8645401,106.79627228,4837917592,"(4837917592, 5778218355, 0)",False,"[4837917592, 5778218355]",19.9
10.8651104,106.79414368,2131993872,"(5778218355, 2131993872, 0)",True,"[5778218355, 2131993872, 9291885181, 5778173005, 1958801571]",13.3
10.86581802,106.79307556,1958801571,"(1958801571, 5778117682, 0)",False,"[1958801571, 5778117682, 5772493579, 1958801572]",3.7
10.86629772,106.79228973,5778313783,"(1958801572, 9430204877, 0)",False,"[1958801572, 5772493580, 5772493582, 5772493583]",13.399999999999999
10.86690331,106.79107666,5778117804,"(5772493583, 5778117804, 0)",True,"[5772493583, 5778117804, 5778117808]",3.9000000000000004
