lat,lng,node,edge,station,route,travel_times
10.87775612,106.64173889,8359892193,"(5755070415, 8359892193, 0)",True,"[5755070415, 5044255944, 366381562, 366409963]",11.600000000000001
10.87758732,106.64217377,366381562,"(366409963, 366381562, 0)",False,"[366409963, 2191957231]",6.1
10.87723923,106.64073944,2191957231,"(2191957231, 366448847, 0)",True,"[2191957231, 366448847, 5755050321]",8.799999999999999
10.87737083,106.64015961,366448847,"(5755050321, 366448847, 0)",False,"[5755050321, 5755050325, 5755048118, 9774810380]",12.3
10.87810326,106.63885498,9774810380,"(9774810380, 5755050326, 0)",True,"[9774810380, 5755050326, 2191963747, 366464065]",33.6
10.88049507,106.6346817,366464065,"(366464065, 366453479, 0)",True,"[366464065, 366453479, 366391065]",32.900000000000006
10.88130093,106.63306427,366453479,"(366391065, 366453479, 0)",True,[366391065],0.0
10.88214874,106.63153839,366391065,"(366391065, 366400361, 0)",False,"[366391065, 366400361, 366388136]",20.8
10.88300228,106.63004303,366388136,"(366388136, 366400361, 0)",True,"[366388136, 5752788338, 9747896378, 5303300502, 9731758730, 2247594753, 5753466557, 5755024707, 5753466527, 5751172499]",24.4
10.88192272,106.62838745,5753466527,"(5751172499, 5753466527, 0)",True,"[5751172499, 5753466570, 5751172490, 3344100896, 5755024711, 8819441923]",23.7
10.88033199,106.62728882,5755024711,"(8819441923, 5755024711, 0)",False,"[8819441923, 5753466524, 5753466539, 8370413631, 5753466585]",12.0
10.87875175,106.62617493,8370413631,"(5753466585, 8370413631, 0)",True,"[5753466585, 5753466617]",5.8
10.87778187,106.62534332,5753466617,"(5753466617, 5753466585, 0)",False,"[5753466617, 5757503389, 5757466326]",10.8
10.8768177,106.62448883,5757466326,"(5757466326, 5757503389, 0)",True,"[5757466326, 5757466374, 5755674234, 5757466381, 5757466339, 3344100734, 5755675967]",31.599999999999998
10.87507439,106.62295532,3344100734,"(5755675967, 3344100734, 0)",True,"[5755675967, 366431286]",6.3
10.87366199,106.62167358,366431286,"(366431286, 5755675967, 0)",False,"[366431286, 5755675987, 8370377556, 5755674226]",15.100000000000001
10.87225056,106.62039948,5755674226,"(5755674226, 8370377556, 0)",True,"[5755674226, 5755675955, 5762623819, 5043145992]",22.799999999999997
10.87049103,106.61875153,5043145992,"(5043145992, 5762623819, 0)",True,"[5043145992, 5762624716, 366397693, 5043146012, 366443278]",11.5
10.86897945,106.61739349,5762623798,"(366443278, 5762623798, 0)",False,"[366443278, 5762623798, 5043145991, 5755581602]",24.8
10.8679409,106.6161499,5043145991,"(5755581602, 5043145991, 0)",True,"[5755581602, 5762600884]",4.2
10.86735153,106.61551666,5755581602,"(5762600884, 5755581602, 0)",False,"[5762600884, 5762600693]",3.7
10.86643982,106.61484528,5762600693,"(5762600693, 366459420, 0)",True,"[5762600693, 366459420, 5762600718, 5762600865]",13.5
10.86526489,106.61402893,5762600865,"(5762600865, 5764885859, 0)",False,"[5762600865, 5764885859, 366431115, 5762600658, 5764885925, 366428079]",15.599999999999998
10.86410618,106.61315918,366428079,"(366428079, 5764885925, 0)",True,"[366428079, 5764885889, 4178488050, 366429045]",14.5
10.86249924,106.61205292,366429045,"(366429045, 4178488085, 0)",False,"[366429045, 4178488085, 5753017426, 5764885890, 5753017420, 5753017364, 8348611149, 366465998]",18.7
10.8608923,106.61090088,366465998,"(366465998, 8348611149, 0)",True,"[366465998, 5764885888, 2763159056, 366474557, 366384739, 366458701]",16.0
10.85941696,106.6099472,366384739,"(366458701, 366384739, 0)",False,"[366458701, 3220146182, 9582814056, 366419998, 5043145793, 5753062904, 5753166013]",13.700000000000001
10.85792065,106.60896301,5753166013,"(5753166013, 5753062904, 0)",True,"[5753166013, 5753062916, 5753062907, 5753062915]",16.8
10.85653019,106.60803223,5753062907,"(5753062915, 5753062907, 0)",True,"[5753062915, 3220146092, 6645608583, 5755254548, 366423594, 3376112279, 5755254626]",11.2
10.855207440000001,106.60719299,3376112279,"(5755254626, 3376112279, 0)",False,"[5755254626, 6645608578, 6645608576, 2351909316, 9342313219, 2631996940, 9342313226, 2869800811]",76.7
10.84521866,106.61360168,5748254925,"(2869800811, 8144962279, 0)",True,"[2869800811, 8144962279, 7710352978, 8141400827, 5748254911, 4069486250, 8141356723, 8141356741, 8141297190]",24.800000000000004
10.84222031,106.61537933,8141356730,"(8141297190, 5752850579, 0)",False,"[8141297190, 5752850579, 5752850578, 2091954894]",10.7
10.84055614,106.61643982,2091954894,"(2091954894, 8141400833, 0)",False,"[2091954894, 5752850532]",0.6
10.84026623,106.61655426,8141400833,"(5752850532, 5752850629, 0)",False,"[5752850532, 5752850629]",6.8
10.83894348,106.61742401,5724704487,"(5752850629, 3067835769, 0)",False,"[5752850629, 3067835769, 2869810792, 5303276356, 5303276361, 5303276366, 5303276371, 2091954752]",33.0
10.83453846,106.6202774,5748695024,"(2091954752, 2276515365, 0)",True,"[2091954752, 2276515365, 2276493879]",18.2
10.83206272,106.62185669,2276493875,"(2276493879, 5718947672, 0)",True,"[2276493879, 5718947672, 2091954781, 5718945598, 5748420448]",26.599999999999998
10.82962799,106.62343597,5748420448,"(5748420448, 6645630547, 0)",False,"[5748420448, 6645630547, 366440778, 5740748947]",19.7
10.82710457,106.62523651,5740748947,"(5740748947, 6645630549, 0)",False,"[5740748947, 6645630549, 4069480299]",3.7
10.826599120000001,106.62568665,4069480299,"(4069480299, 2091954875, 0)",True,"[4069480299, 2091954867]",9.7
10.82441711,106.62795258,8360685260,"(2091954867, 2091954831, 0)",False,"[2091954867, 2091954831]",16.9
10.82345295,106.62901306,2247569946,"(2091954831, 2091954828, 0)",False,"[2091954831, 2091954828, 2091954791]",8.4
10.82291603,106.62953186,2091954791,"(2091954791, 2091954891, 0)",False,"[2091954791, 2091954891]",11.0
10.82091904,106.63036346,5740288136,"(2091954891, 5740288136, 0)",False,"[2091954891, 5740288136, 3156007494, 3655114529, 3655114531]",10.200000000000001
10.81942749,106.6308136,3655114319,"(3655114531, 5735881823, 0)",True,"[3655114531, 5735881823]",20.2
10.81711483,106.63153839,5735881823,"(5735881823, 2091954768, 0)",True,"[5735881823, 2091954768]",1.9
10.8150177,106.63218689,5735879410,"(2091954768, 5735879410, 0)",False,"[2091954768, 5735879410, 2091954889]",23.0
10.81290436,106.63282013,2091954845,"(2091954889, 2091954845, 0)",True,"[2091954889, 2091954845, 5735332141, 5735332145, 5735332144]",20.6
10.81054878,106.63356018,5735332144,"(5735332144, 9485749592, 0)",False,"[5735332144, 9485749592, 9582131865, 2091954877, 9582131871]",11.9
10.80821991,106.63432312,2079964663,"(9582131871, 2079964663, 0)",True,"[9582131871, 2079964663]",7.3
10.8075037,106.63475037,5356329018,"(2079964663, 2079964012, 0)",False,"[2079964663, 2079964012, 2592269705]",8.5
10.80710316,106.63507843,2592269705,"(2592269705, 2082378083, 0)",False,"[2592269705, 2082378083]",2.9
10.80616474,106.63609314,5356329019,"(2082378083, 366431751, 0)",True,"[2082378083, 366431751]",25.6
10.80358887,106.63793945,2081354801,"(366431751, 2081354801, 0)",True,"[366431751, 2081354801, 2079964403]",7.800000000000001
10.803161620000001,106.63831329,2079964403,"(2079964403, 2079964176, 0)",False,"[2079964403, 2079964176, 2081354831]",7.1
10.80272388,106.63906097,2081354831,"(2081354831, 2081354991, 0)",False,"[2081354831, 2081354991]",2.4
10.80257702,106.63960266,5663188334,"(2081354991, 2081355030, 0)",False,"[2081354991, 2081355030]",5.4
10.80237103,106.64025116,2081354888,"(2081355030, 2081354888, 0)",True,"[2081355030, 2081354888, 366379261, 2079964288]",25.4
10.8021183,106.64425659,2079964945,"(2079964288, 6631169239, 0)",True,"[2079964288, 6631169239, 2079964221, 2433201344]",25.7
