lat,lng,node,edge,station,route,travel_times
10.7335453,106.65635681,2495870411,"(2495870411, 4652534427, 0)",True,"[2495870411, 4652534427]",5.7
10.73404598,106.65668488,5755051489,"(4652534427, 5755051489, 0)",False,"[4652534427, 5755051488, 366450563]",10.4
10.73463345,106.65618134,5755051488,"(366450563, 5755051488, 0)",False,[366450563],0.0
10.73523712,106.65618896,366450563,"(366450563, 5755153785, 0)",False,"[366450563, 5755153785, 6432690972, 5755153759, 5755153752]",9.1
10.73584366,106.65620422,5755153759,"(5755153752, 5755153759, 0)",False,"[5755153752, 5755053133]",1.0
10.73644924,106.65621185,5755053133,"(5755053133, 6433515438, 0)",False,"[5755053133, 6433515438, 6432690983]",11.2
10.73703194,106.65622711,6433515438,"(6432690983, 6433515438, 0)",False,"[6432690983, 5816764351, 5755153781]",8.899999999999999
10.73761463,106.65625,5816764351,"(5755153781, 5816764351, 0)",False,"[5755153781, 6432751392]",0.4
10.73819447,106.65627289,6432751392,"(6432751392, 5755153782, 0)",False,"[6432751392, 5755153782]",3.1
10.7387743,106.65630341,6432751391,"(5755153782, 6758003387, 0)",True,"[5755153782, 6758003387, 2040317179, 2040317180, 8442829027, 8442829028, 9316688849, 4202267358, 2040317166, 6449960777, 6757924455, 6449960764, 6449960765, 2040317275, 6757924465]",44.7
10.74457645,106.65675354,6449960735,"(6757924465, 5764804979, 0)",True,"[6757924465, 5764804979, 6450096913]",9.899999999999999
10.74499321,106.65748596,6450096913,"(6450096913, 6757924473, 0)",False,"[6450096913, 6757924473, 366375026, 6757924476]",9.799999999999999
10.74578381,106.65895844,5814325558,"(6757924476, 5814325558, 0)",False,"[6757924476, 5814325558, 4202267803, 2367376014, 6449960694, 6450096946, 4616320836, 366442410, 6770391006, 366438053, 6770224606, 6643087494, 1996653935]",30.9
10.75021553,106.66007233,4609063287,"(1996653935, 4609063287, 0)",False,"[1996653935, 4609063287, 1996745840]",13.399999999999999
10.75051117,106.66046906,1996655330,"(1996745840, 1996655330, 0)",False,"[1996745840, 1996655330]",1.6
10.75097466,106.66121674,4609551766,"(1996655330, 4609551766, 0)",False,"[1996655330, 4609551766, 4609551765]",11.9
10.75120163,106.66146851,4609551765,"(4609551765, 1996655291, 0)",False,"[4609551765, 1996655291]",12.9
10.7505455,106.65991211,366434468,"(1996655291, 5674570711, 0)",False,"[1996655291, 5674570711]",7.8
10.75067425,106.65953064,5462393780,"(5674570711, 5462393780, 0)",False,"[5674570711, 5462393780, 6727805055, 6727805056, 6727805057, 1996655629, 6769576944]",8.1
10.750780110000001,106.65929413,1996654802,"(6769576944, 1996654802, 0)",False,"[6769576944, 1996654802]",1.2
10.75083733,106.65921783,1996655233,"(1996654802, 1996655233, 0)",False,"[1996654802, 1996655233, 6727805054]",2.6
10.7513752,106.6591568,6727805054,"(6727805054, 5816921541, 0)",True,"[6727805054, 5816921541]",8.0
