lat,lng,node,edge,station,route,travel_times
10.77403069,106.66134644,3088844992,"(4074724583, 3088844992, 0)",True,"[4074724583, 3088844992, 4074720686, 3088844993]",15.000000000000002
10.77383137,106.66155243,3088844993,"(3088844993, 4074720686, 0)",False,"[3088844993, 3088844994, 5243849435]",13.0
10.77328777,106.6611557,3088844994,"(5243849435, 3088844994, 0)",True,[5243849435],0.0
10.772645,106.66065216,366383168,"(5243849435, 366383168, 0)",False,"[5243849435, 366383168, 4666695460]",5.699999999999999
10.77230835,106.66030884,4666695460,"(4666695460, 5757673280, 0)",False,"[4666695460, 5757673280]",4.7
10.77176762,106.65971375,5757673280,"(5757673280, 2302073725, 0)",False,"[5757673280, 2302073725]",22.4
10.77122784,106.65911865,4074716031,"(2302073725, 5757673280, 0)",True,"[2302073725, 6753994860, 2302073741, 5765078828, 5765078830, 4628241282, 5765078843, 366466362, 5765078838]",41.9
10.77647114,106.65647888,366411400,"(5765078838, 2302073746, 0)",False,"[5765078838, 2302073746, 6747277430, 2498077593, 6372499824, 2299409179]",17.7
10.77877903,106.65584564,2233808761,"(2299409179, 5772558098, 0)",False,"[2299409179, 5772558098, 5772558091, 6263969574, 6263969566, 3789093321]",18.099999999999998
10.78105545,106.65518188,6269039284,"(3789093321, 2299409167, 0)",True,"[3789093321, 2299409167, 6747157924, 4874288023, 8359604863, 4874288027, 5772508106, 6747157933, 2299409156, 6747157935]",24.400000000000002
10.783986089999999,106.65435028,2299409176,"(6747157935, 2299409176, 0)",True,"[6747157935, 2299409176, 6747157937, 2299419525, 2299409171, 6747157940, 6747004611, 2299409160, 6747004613]",15.6
10.78619862,106.65370941,6640164291,"(6747004613, 6640164291, 0)",True,"[6747004613, 6640164291, 6747004615, 3011828034, 6747004619, 6640164285, 2822187274, 4461998123]",19.8
10.78868103,106.65301514,6269038991,"(4461998123, 2299409157, 0)",True,"[4461998123, 2299409157, 4636764475, 2233736946]",14.600000000000001
10.790588379999999,106.65253448,2233736946,"(2233736946, 5769406341, 0)",False,"[2233736946, 5769406341]",7.1
10.7913208,106.65262604,5769406341,"(5769406341, 5769406332, 0)",False,"[5769406341, 5769406332]",7.4
10.7921381,106.65300751,5769406332,"(5769406332, 5467431341, 0)",True,"[5769406332, 5467431341, 9599058300, 3806810443]",6.1000000000000005
10.79285431,106.65341187,3806810443,"(3806810443, 3806810442, 0)",False,"[3806810443, 2233772196]",3.6
10.79353428,106.6539917,2233772196,"(2233772196, 5765334898, 0)",False,"[2233772196, 5765334898, 2233756575]",7.8
10.79410839,106.65444946,2233756575,"(2233756575, 366457990, 0)",False,"[2233756575, 366457990, 10097590142, 10097590140]",7.4
10.79476166,106.65513611,10097590140,"(10097590140, 10097590145, 0)",True,"[10097590140, 10097590145, 3806810579, 2288699449, 366450379, 3771398753, 4541470627, 366390897]",35.1
10.79862976,106.65912628,6257990126,"(366390897, 5762726353, 0)",True,"[366390897, 5762726353, 2081753809, 2081753897, 6544259393, 2081753678, 5721686017, 6257990120, 5721686016, 6257990123]",21.2
10.80019474,106.66080475,5721686015,"(6257990123, 5721686015, 0)",False,"[6257990123, 5721686015, 2041577242]",2.7
10.8002367,106.66104889,2041577242,"(2041577242, 1404352840, 0)",False,"[2041577242, 1404352840, 1409491230, 7822919246, 7822919232, 8995743760]",25.599999999999998
10.80043697,106.66519165,5762747868,"(8995743760, 5762747868, 0)",False,"[8995743760, 5762747868, 366381601, 5762825452, 723876650]",21.700000000000003
10.80031109,106.66681671,723876650,"(723876650, 1358468349, 0)",False,[723876650],0.0
10.80037403,106.66697693,5762825874,"(723876650, 5721685973, 0)",False,"[723876650, 1358468349, 1358468351, 5721685973]",4.4
10.80081654,106.66674042,5721685973,"(5721685973, 5721685974, 0)",False,"[5721685973, 5721685974, 5721685975]",8.5
10.80133343,106.66596222,5721685975,"(5721685975, 366426004, 0)",False,"[5721685975, 366426004, 4541470630]",8.6
10.80208683,106.6657486,4541470630,"(4541470630, 366426004, 0)",False,"[4541470630, 4619358332]",7.9
10.80245018,106.66585541,1774952112,"(4619358332, 4541470630, 0)",True,"[4619358332, 698217149, 4619358329, 4619358328]",8.7
10.80396271,106.66625214,4619358328,"(4619358328, 4619358327, 0)",False,"[4619358328, 4619358327, 6544263049, 366438848, 5725018642, 4619358333, 5755535166]",15.700000000000001
10.80542755,106.66665649,5755535166,"(5755535166, 2214339206, 0)",True,"[5755535166, 2214339206, 2077773968]",7.2
10.80609131,106.66680908,2077773968,"(2077773968, 2214339206, 0)",False,"[2077773968, 5755535165, 5721685981, 5727024002]",12.3
10.80590725,106.66821289,5727024002,"(5727024002, 5755535149, 0)",False,"[5727024002, 366427287, 1404352952, 5721685979, 1404352955, 5755535164]",12.0
10.80720806,106.6684494,5755535164,"(5755535164, 2214355194, 0)",True,"[5755535164, 2214355194]",6.1
10.80876827,106.66869354,5755535156,"(2214355194, 366404398, 0)",False,"[2214355194, 366404398, 5755430608, 5755535134, 712140218, 366454574]",35.8
10.80863667,106.67147064,366454574,"(366454574, 712140218, 0)",False,"[366454574, 1394527853]",1.4
