lat,lng,node,edge,station,route,travel_times
10.88093185,106.80638123,2409496494,"(2409496494, 2409496489, 0)",True,"[2409496494, 2409496489, 2409496510, 5753048918, 5753048922]",16.9
10.88111687,106.80649567,5753048922,"(5753048922, 2409496498, 0)",False,"[5753048922, 2409496498, 2409496509, 4766301828]",7.199999999999999
10.88165665,106.8056488,4766301834,"(4766301828, 4766301834, 0)",False,"[4766301828, 4766301834, 2409496506, 2409496492, 5750505229]",19.8
10.88219643,106.80480194,5750505229,"(5750505229, 5750505228, 0)",False,"[5750505229, 5750505228]",1.3
10.88130856,106.80420685,5753048928,"(5750505228, 5753048948, 0)",False,"[5750505228, 5753048948, 6768441597, 2938681601, 3149104935]",41.5
10.87869358,106.80236816,3149104935,"(3149104935, 2938679179, 0)",False,"[3149104935, 2938679179, 6768441593, 5753048956, 2939301402, 6768441591, 2949182371, 2949182368, 2949182366]",24.3
10.8764019,106.80319977,2949182366,"(2949182366, 2949182365, 0)",False,"[2949182366, 2949182365, 6768441606, 2949182401]",3.3000000000000003
10.87638569,106.80351257,2949182401,"(2949182401, 6768441600, 0)",False,"[2949182401, 7456680191, 7236378354]",30.299999999999997
10.87355137,106.80303955,3342113633,"(7236378354, 3342113633, 0)",True,"[7236378354, 3342113633, 3342113635, 3342113638]",5.9
10.87359905,106.80238342,3342113638,"(3342113638, 7961512927, 0)",False,"[3342113638, 7961512927]",9.0
10.87370491,106.80171967,7961512927,"(7961512927, 8372509230, 0)",False,"[7961512927, 6839833068, 5763376696, 3184070802]",9.1
10.87295628,106.80032349,5764977858,"(3184070802, 5764977858, 0)",False,"[3184070802, 5764977858, 5763376700, 3184070801]",22.599999999999998
10.87211895,106.79901123,5763376700,"(3184070801, 5763376700, 0)",False,[3184070801],0.0
10.87201881,106.79862213,3184070801,"(3184070801, 5763376695, 0)",False,"[3184070801, 3184070795]",25.6
10.8720665,106.79823303,5763376695,"(3184070795, 5763376695, 0)",False,"[3184070795, 5763376695, 2217907238]",27.9
10.87145519,106.7978363,2217907238,"(2217907238, 6775983735, 0)",False,"[2217907238, 5765079469, 366381331]",11.1
10.87043285,106.79702759,6775983735,"(366381331, 6775983735, 0)",False,"[366381331, 6775983735, 3652951033]",13.2
10.87051201,106.79608154,3652951033,"(3652951033, 2131993851, 0)",True,"[3652951033, 2131993851]",8.6
10.87043285,106.79531097,2131993851,"(2131993851, 2937887021, 0)",False,[2131993851],0.0
10.86967182,106.7953186,3652951026,"(2131993851, 2955363860, 0)",False,"[2131993851, 2955363860]",16.9
10.86815739,106.79519653,3652948221,"(2955363860, 3652948221, 0)",False,"[2955363860, 3652948221, 2955359017, 2938729552, 2955359034, 5778117717]",19.8
10.86676598,106.79465485,2955359034,"(5778117717, 2955359034, 0)",True,[5778117717],0.0
10.86595535,106.79434967,5778172996,"(5778117717, 2131993872, 0)",False,"[5778117717, 2131993872]",15.8
10.86514854,106.79409027,2131993872,"(2131993872, 9291885181, 0)",True,"[2131993872, 9291885181, 5778173005, 1958801571]",10.6
10.86581802,106.79307556,1958801571,"(1958801571, 5778117682, 0)",False,"[1958801571, 5778117682, 5772493579, 1958801572]",3.7
